json2tab	VOA_EN_NW_2017_06_10_3894870_0-3	1100	VOA_EN_NW_2017_06_10_3894870_0:40-43	NIL	LOC	PRO	1.0
json2tab	VOA_EN_NW_2017_03_28_3785249_1-3	they	VOA_EN_NW_2017_03_28_3785249_1:18-21	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_29_3921750_0-8	his	VOA_EN_NW_2017_06_29_3921750_0:101-103	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_06_3840818_0-6	he	VOA_EN_NW_2017_05_06_3840818_0:69-70	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_06_3840818_0-7	his	VOA_EN_NW_2017_05_06_3840818_0:81-83	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_06_3840818_0-8	his	VOA_EN_NW_2017_05_06_3840818_0:109-111	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_12_3761985_1-6	her	VOA_EN_NW_2017_03_12_3761985_1:67-69	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_1-10	who	VOA_EN_NW_2017_06_27_3918160_1:25-27	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_1-11	his	VOA_EN_NW_2017_06_27_3918160_1:151-153	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_1-12	his	VOA_EN_NW_2017_06_27_3918160_1:169-171	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_1-13	he	VOA_EN_NW_2017_06_27_3918160_1:202-203	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_27_3918160_1-14	his	VOA_EN_NW_2017_06_27_3918160_1:246-248	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_04_17_3814268_1-7	his	VOA_EN_NW_2017_04_17_3814268_1:44-46	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_01_06_3666451_0-7	she	VOA_EN_NW_2017_01_06_3666451_0:59-61	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_01_06_3666451_0-8	his	VOA_EN_NW_2017_01_06_3666451_0:114-116	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_01_06_3666451_0-21	she	VOA_EN_NW_2017_01_06_3666451_0:192-194	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_01_06_3666451_0-22	his	VOA_EN_NW_2017_01_06_3666451_0:214-216	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_17_3904403_1-7	his	VOA_EN_NW_2017_06_17_3904403_1:30-32	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_17_3904403_1-20	He	VOA_EN_NW_2017_06_17_3904403_1:112-113	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_06_14_3900062_0-11	their	VOA_EN_NW_2017_06_14_3900062_0:256-260	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_22_3864914_0-5	his	VOA_EN_NW_2017_05_22_3864914_0:161-163	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_05_3839132_0-8	who	VOA_EN_NW_2017_05_05_3839132_0:114-116	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_19_3772441_0-7	their	VOA_EN_NW_2017_03_19_3772441_0:111-115	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_02_16_3727822_2-12	others	VOA_EN_NW_2017_02_16_3727822_2:97-102	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_05_14_3851045_0-5	their	VOA_EN_NW_2017_05_14_3851045_0:38-42	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_04_21_3820641_1-6	his	VOA_EN_NW_2017_04_21_3820641_1:19-21	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_31_3791397_1-9	their	VOA_EN_NW_2017_03_31_3791397_1:105-109	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_23_3778372_0-3	who	VOA_EN_NW_2017_03_23_3778372_0:29-31	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_23_3778372_0-4	his	VOA_EN_NW_2017_03_23_3778372_0:50-52	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_23_3778372_0-5	his	VOA_EN_NW_2017_03_23_3778372_0:76-78	NIL	PER	PRO	1.0
json2tab	VOA_EN_NW_2017_03_23_3778372_0-16	where	VOA_EN_NW_2017_03_23_3778372_0:272-276	NIL	FAC	PRO	1.0
